nct_id,modeltype,statistic.log,p.value.log,statistic.sc,p.value.sc,statistic.wald,p.value.wald,statistic.robust,p.value.robust,r.squared,r.squared.max,concordance,std.error.concordance,logLik,AIC,BIC,nobs,null.deviance,df.null,deviance,df.residual
NCT02229227,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-325.53,657.059,671.158,812,651.532,811,651.059,809
NCT00968812,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-914.051,1834.103,1849.945,1452,1831.353,1451,1828.103,1449
NCT01081834,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-314.012,634.023,647.148,587,633.086,586,628.023,584
NCT01106625,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-300.039,606.077,618.529,469,600.679,468,600.077,466
NCT01106651,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-417.58,841.161,854.882,716,840.507,715,835.161,713
NCT01106677,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-651.996,1309.992,1325.465,1284,1304.745,1283,1303.992,1281
NCT01106690,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-187.572,381.145,392.667,344,375.508,343,375.145,341
NCT01137812,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-503.331,1012.662,1026.546,756,1008.561,755,1006.662,753
NCT01381900,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.883,261.766,275.323,678,257.884,677,255.766,675
NCT01809327,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-247.129,500.259,513.963,712,500.422,711,494.259,709
NCT02025907,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-103.167,212.334,222.487,218,207.815,217,206.334,215
NCT00688701,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-103.243,212.486,224.144,360,206.522,359,206.486,357
NCT00712673,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-379.745,765.489,779.055,680,762.571,679,759.489,677
NCT00713830,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-524.16,1054.32,1068.584,858,1049.258,857,1048.32,855
NCT00715624,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-315.176,636.351,648.959,494,630.708,493,630.351,491
NCT00763451,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-248.657,503.313,515.847,482,500.132,481,497.313,479
NCT00763815,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-286.004,578.009,590.555,484,574.883,483,572.009,481
NCT00866658,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99.97,205.941,217.151,310,210.2,309,199.941,307
NCT00975286,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-136.765,279.53,291.831,446,273.823,445,273.53,443
NCT00976937,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-92.382,190.763,202.059,319,184.993,318,184.763,316
NCT01169779,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-97.887,201.774,213.673,390,196.283,389,195.774,387
NCT01632163,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.217,176.433,187.009,251,171.385,250,170.433,248
NCT01768559,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-213.11,432.22,446.601,892,429.175,891,426.22,889
NCT01798706,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.842,233.683,245.035,325,230.413,324,227.683,322
NCT00286429,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-256.218,518.435,530.271,382,523.517,381,512.435,379
NCT00286442,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-256.017,518.034,530.767,515,512.63,514,512.034,512
NCT00286455,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-161.705,329.41,340.733,322,337.19,321,323.41,319
NCT00286468,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-284.91,575.821,588.465,500,587.197,499,569.821,497
NCT00286494,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-248.176,502.351,514.91,486,499.407,485,496.351,483
NCT00707993,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-296.584,599.168,611.435,441,598.539,440,593.168,438
NCT00856284,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1818.625,3643.25,3660.883,2638,3649.397,2637,3637.25,2635
NCT01023581,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-301.515,609.03,622.008,559,606.346,558,603.03,556
NCT01289119,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-140.21,286.42,299.094,505,284.478,504,280.42,502
NCT01632007,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-57.021,120.041,130.545,245,118.249,244,114.041,242
NCT01890122,glm_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-266.098,538.196,550.767,488,544.401,487,532.196,485
NCT01217892,cox_int,19.411,0.002,18.333,0.003,17.29,0.004,NA,NA,0.048,0.549,0.712,0.055,-147.147,304.294,310.774,394,NA,NA,NA,NA
NCT01606007,cox_int,4.033,0.545,4.104,0.535,4.06,0.541,NA,NA,0.012,0.561,0.607,0.061,-140.175,290.349,296.443,345,NA,NA,NA,NA
NCT01619059,cox_int,6.464,0.264,6.279,0.28,5.87,0.319,NA,NA,0.021,0.429,0.687,0.07,-82.223,174.446,177.986,305,NA,NA,NA,NA
NCT02471404,cox_int,9.138,0.104,8.859,0.115,8.47,0.132,NA,NA,0.015,0.459,0.654,0.055,-178.986,367.972,374.808,598,NA,NA,NA,NA
NCT02681094,cox_int,5.73,0.333,5.106,0.403,4.79,0.442,NA,NA,0.01,0.354,0.599,0.059,-127.094,264.187,269.865,595,NA,NA,NA,NA
NCT00601250,cox_int,5.925,0.314,5.848,0.321,5.79,0.327,NA,NA,0.008,0.621,0.601,0.036,-336.591,683.182,693.033,700,NA,NA,NA,NA
NCT00602472,cox_int,1.021,0.961,1.026,0.96,1.02,0.961,NA,NA,0.001,0.639,0.515,0.034,-537.631,1085.261,1097.109,1055,NA,NA,NA,NA
NCT00621140,cox_int,8.381,0.136,9.845,0.08,9.06,0.107,NA,NA,0.017,0.537,0.653,0.052,-189.647,389.294,396.777,503,NA,NA,NA,NA
NCT00622284,cox_int,6.104,0.296,6.019,0.304,5.99,0.307,NA,NA,0.004,0.964,0.536,0.016,-2582.894,5175.788,5195.218,1551,NA,NA,NA,NA
NCT00641043,cox_int,14.902,0.011,19.516,0.002,16.91,0.005,NA,NA,0.038,0.616,0.668,0.05,-177.513,365.026,372.355,387,NA,NA,NA,NA
NCT00654381,cox_int,7.735,0.46,7.082,0.528,6.36,0.607,NA,NA,0.015,0.499,0.652,0.048,-176.87,369.74,380.678,523,NA,NA,NA,NA
NCT00740051,cox_int,29.484,0,30.483,0,25.95,0,NA,NA,0.122,0.902,0.716,0.035,-248.629,507.259,516.819,227,NA,NA,NA,NA
NCT00798161,cox_int,8.678,0.37,10.377,0.24,9.79,0.28,NA,NA,0.017,0.835,0.586,0.035,-451.365,918.731,937.481,505,NA,NA,NA,NA
NCT00800683,cox_int,10.355,0.066,12.212,0.032,11.72,0.039,NA,NA,0.077,0.916,0.641,0.05,-155.501,321.002,328.634,130,NA,NA,NA,NA
NCT00819091,cox_int,1.371,0.928,1.304,0.935,1.27,0.938,NA,NA,0.006,0.54,0.572,0.071,-91.597,193.195,197.361,238,NA,NA,NA,NA
NCT00915772,cox_int,2.131,0.831,2.129,0.831,2.12,0.832,NA,NA,0.005,0.911,0.548,0.033,-477.353,964.707,976.74,395,NA,NA,NA,NA
NCT00954447,cox_int,8.593,0.126,8.536,0.129,8.42,0.135,NA,NA,0.007,0.882,0.559,0.021,-1334.011,2678.022,2694.335,1252,NA,NA,NA,NA
NCT00996658,cox_int,9.502,0.091,10.548,0.061,9.66,0.085,NA,NA,0.034,0.713,0.65,0.045,-164.977,339.955,347.125,272,NA,NA,NA,NA
NCT01084005,cox_int,3.715,0.591,3.401,0.638,3.18,0.672,NA,NA,0.015,0.609,0.63,0.058,-110.252,230.503,235.726,239,NA,NA,NA,NA
NCT01087502,cox_int,8.655,0.124,8.059,0.153,7.75,0.17,NA,NA,0.036,0.897,0.615,0.037,-263.029,536.057,545.617,235,NA,NA,NA,NA
NCT01159600,cox_int,8.952,0.111,9.514,0.09,9.21,0.101,NA,NA,0.007,0.67,0.576,0.028,-717.996,1445.993,1459.215,1303,NA,NA,NA,NA
NCT01164501,cox_int,4.062,0.54,4.09,0.537,4.06,0.541,NA,NA,0.005,0.798,0.553,0.03,-586.522,1183.045,1195.599,737,NA,NA,NA,NA
NCT01167881,cox_int,9.618,0.087,10.095,0.073,10.01,0.075,NA,NA,0.006,0.959,0.537,0.016,-2468.158,4946.315,4965.547,1545,NA,NA,NA,NA
NCT01177813,cox_int,17.439,0.026,20.631,0.008,19.08,0.014,NA,NA,0.019,0.754,0.61,0.03,-621.122,1258.243,1278.674,897,NA,NA,NA,NA
NCT01194830,cox_int,2.148,0.828,2.034,0.844,2,0.849,NA,NA,0.01,0.924,0.557,0.038,-276.846,563.691,573.543,216,NA,NA,NA,NA
NCT01210001,cox_int,3.159,0.676,3.033,0.695,2.95,0.707,NA,NA,0.006,0.624,0.577,0.045,-242.034,494.069,502.637,498,NA,NA,NA,NA
NCT01214239,cox_int,6.469,0.263,7.361,0.195,7.13,0.211,NA,NA,0.021,0.674,0.612,0.056,-164.286,338.572,345.578,299,NA,NA,NA,NA
NCT01215097,cox_int,4.131,0.531,4.883,0.43,4.6,0.466,NA,NA,0.013,0.615,0.61,0.056,-143.526,297.052,303.342,305,NA,NA,NA,NA
NCT01306214,cox_int,4.362,0.499,4.334,0.502,4.27,0.511,NA,NA,0.008,0.853,0.56,0.032,-537.895,1085.791,1098.177,563,NA,NA,NA,NA
NCT01370005,cox_int,4.361,0.499,5.149,0.398,4.98,0.418,NA,NA,0.005,0.428,0.57,0.054,-227.852,465.705,473.759,824,NA,NA,NA,NA
NCT01422876,cox_int,4.171,0.525,4.161,0.527,4.16,0.527,NA,NA,0.005,0.859,0.539,0.028,-799.321,1608.642,1622.621,817,NA,NA,NA,NA
NCT01438814,cox_int,2.608,0.76,2.612,0.759,2.58,0.765,NA,NA,0.004,0.39,0.59,0.049,-168.81,347.62,354.281,689,NA,NA,NA,NA
NCT01708902,cox_int,2.625,0.758,2.879,0.719,2.83,0.726,NA,NA,0.006,0.674,0.558,0.052,-243.023,496.047,504.735,436,NA,NA,NA,NA
NCT01719003,cox_int,4.374,0.497,4.165,0.526,4.05,0.542,NA,NA,0.006,0.712,0.58,0.034,-420.816,851.633,862.73,679,NA,NA,NA,NA
NCT01734785,cox_int,10.098,0.073,10.895,0.053,8.95,0.111,NA,NA,0.03,0.464,0.722,0.057,-98.52,207.04,211.492,332,NA,NA,NA,NA
NCT01792518,cox_int,1.426,0.921,1.391,0.925,1.38,0.926,NA,NA,0.004,0.369,0.588,0.085,-82.13,174.259,177.8,360,NA,NA,NA,NA
NCT02182830,cox_int,2.801,0.731,2.685,0.748,2.61,0.759,NA,NA,0.017,0.864,0.594,0.048,-162.144,334.288,341.92,164,NA,NA,NA,NA
NCT02453555,cox_int,5.723,0.334,7.907,0.161,7.07,0.215,NA,NA,0.021,0.538,0.623,0.062,-103.221,216.442,221.164,275,NA,NA,NA,NA
NCT01064687,cox_int,7.703,0.173,8.054,0.153,8.27,0.142,NA,NA,0.008,0.781,0.533,0.028,-736.547,1483.095,1496.99,976,NA,NA,NA,NA
NCT01075282,cox_int,6.64,0.249,6.508,0.26,6.42,0.268,NA,NA,0.008,0.747,0.573,0.032,-551.862,1113.723,1125.877,807,NA,NA,NA,NA
NCT01126580,cox_int,3.151,0.677,3.087,0.687,3.07,0.689,NA,NA,0.004,0.909,0.545,0.025,-963.832,1937.663,1952.912,807,NA,NA,NA,NA
NCT01191268,cox_int,5.667,0.34,5.381,0.371,5.41,0.368,NA,NA,0.006,0.91,0.546,0.023,-1063.901,2137.801,2153.331,884,NA,NA,NA,NA
NCT01558271,cox_int,7.817,0.167,12.649,0.027,10.68,0.058,NA,NA,0.016,0.675,0.586,0.045,-272.947,555.895,565.038,492,NA,NA,NA,NA
NCT01621178,cox_int,3.519,0.621,3.561,0.614,3.52,0.62,NA,NA,0.006,0.869,0.553,0.03,-582.191,1174.382,1187.151,575,NA,NA,NA,NA
NCT01648582,cox_int,6.59,0.253,6.45,0.265,6.5,0.261,NA,NA,0.008,0.717,0.58,0.034,-485.238,980.475,992.259,774,NA,NA,NA,NA
NCT01769378,cox_int,17.802,0.003,16.581,0.005,10.7,0.058,NA,NA,0.058,0.592,0.734,0.044,-125.234,260.468,266.562,299,NA,NA,NA,NA
NCT02152371,cox_int,9.632,0.086,8.817,0.117,8.32,0.14,NA,NA,0.032,0.64,0.674,0.047,-148.357,306.715,313.376,300,NA,NA,NA,NA
NCT02597049,cox_int,8.47,0.132,6.307,0.277,2.22,0.818,NA,NA,0.02,0.291,0.707,0.058,-68.581,147.163,150.703,423,NA,NA,NA,NA
NCT02750410,cox_int,8.287,0.141,7.978,0.157,6.27,0.281,NA,NA,0.051,0.658,0.689,0.06,-81.141,172.283,176.449,159,NA,NA,NA,NA
NCT00838903,cox_int,11.929,0.369,11.93,0.369,11.86,0.374,NA,NA,0.012,0.994,0.549,0.015,-2551.267,5124.533,5167.933,1009,NA,NA,NA,NA
NCT00838916,cox_int,8.855,0.115,8.37,0.137,8.29,0.141,NA,NA,0.012,0.991,0.549,0.017,-1716.282,3442.564,3460.537,739,NA,NA,NA,NA
NCT00839527,cox_int,7.294,0.505,7.273,0.507,7.21,0.514,NA,NA,0.011,0.996,0.541,0.017,-1839.54,3695.079,3724.602,661,NA,NA,NA,NA
NCT00849017,cox_int,11.121,0.049,10.957,0.052,10.81,0.055,NA,NA,0.037,0.986,0.588,0.025,-637.524,1285.048,1298.901,299,NA,NA,NA,NA
NCT00849056,cox_int,11.916,0.036,13.182,0.022,12.81,0.025,NA,NA,0.039,0.984,0.589,0.027,-614.661,1239.322,1252.959,301,NA,NA,NA,NA
NCT00976391,cox_int,14.6,0.012,15.628,0.008,15.58,0.008,NA,NA,0.026,0.825,0.624,0.032,-485.723,981.446,993.419,565,NA,NA,NA,NA
NCT01098539,cox_int,12.122,0.033,12.461,0.029,12.05,0.034,NA,NA,0.024,0.945,0.605,0.025,-707.514,1425.027,1438.923,493,NA,NA,NA,NA
NCT01733758,cox_int,14.579,0.012,21.732,0.001,18.79,0.002,NA,NA,0.029,0.715,0.611,0.045,-299.842,609.684,619.244,490,NA,NA,NA,NA
NCT02229227,cox_int,4.628,0.463,4.696,0.454,4.68,0.456,NA,NA,0.006,0.831,0.556,0.029,-720.322,1450.644,1464.237,812,NA,NA,NA,NA
NCT00968812,cox_int,7.593,0.18,7.808,0.167,7.76,0.17,NA,NA,0.005,0.99,0.54,0.014,-3328.895,6667.79,6688.574,1452,NA,NA,NA,NA
NCT01081834,cox_int,13.269,0.021,15.196,0.01,14.58,0.012,NA,NA,0.022,0.941,0.58,0.025,-821.988,1653.976,1668.502,587,NA,NA,NA,NA
NCT01106625,cox_int,8.285,0.141,8.893,0.113,8.7,0.121,NA,NA,0.018,0.982,0.556,0.024,-932.987,1875.973,1891.318,469,NA,NA,NA,NA
NCT01106651,cox_int,17.482,0.004,18.486,0.002,17.8,0.003,NA,NA,0.024,0.969,0.584,0.02,-1238.332,2486.663,2503.054,716,NA,NA,NA,NA
NCT01106677,cox_int,6.478,0.594,7.029,0.534,6.95,0.542,NA,NA,0.005,0.94,0.527,0.019,-1806.667,3629.334,3657.941,1284,NA,NA,NA,NA
NCT01106690,cox_int,9.483,0.091,9.97,0.076,9.54,0.089,NA,NA,0.027,0.932,0.591,0.032,-457.901,925.801,937.774,344,NA,NA,NA,NA
NCT01137812,cox_int,13.603,0.018,13.285,0.021,13.08,0.023,NA,NA,0.018,0.992,0.565,0.017,-1837.523,3685.046,3703.43,756,NA,NA,NA,NA
NCT01381900,cox_int,2.876,0.719,2.766,0.736,2.72,0.744,NA,NA,0.004,0.454,0.573,0.052,-203.554,417.108,424.437,678,NA,NA,NA,NA
NCT01809327,cox_int,15.624,0.008,15.52,0.008,14.95,0.011,NA,NA,0.022,0.746,0.621,0.034,-480.187,970.374,982.284,712,NA,NA,NA,NA
NCT02025907,cox_int,8.375,0.137,8.786,0.118,8.13,0.149,NA,NA,0.038,0.842,0.635,0.047,-196.699,403.398,411.843,218,NA,NA,NA,NA
NCT00688701,cox_int,2.309,0.805,2.143,0.829,2.15,0.829,NA,NA,0.006,0.619,0.593,0.056,-172.632,355.264,362.27,360,NA,NA,NA,NA
NCT00712673,cox_int,3.671,0.598,3.647,0.601,3.64,0.602,NA,NA,0.005,0.956,0.549,0.025,-1060.937,2131.873,2147.523,680,NA,NA,NA,NA
NCT00713830,cox_int,4.262,0.512,4.105,0.534,4.09,0.537,NA,NA,0.005,0.98,0.537,0.019,-1684.317,3378.634,3396.399,858,NA,NA,NA,NA
NCT00715624,cox_int,1.97,0.853,1.895,0.863,1.89,0.865,NA,NA,0.004,0.982,0.529,0.023,-987.186,1984.372,1999.932,494,NA,NA,NA,NA
NCT00763451,cox_int,4.591,0.468,4.549,0.473,4.54,0.475,NA,NA,0.009,0.923,0.556,0.029,-616.303,1242.607,1255.78,482,NA,NA,NA,NA
NCT00763815,cox_int,5.151,0.398,5.318,0.378,5.25,0.386,NA,NA,0.011,0.965,0.547,0.026,-806.165,1622.331,1636.894,484,NA,NA,NA,NA
NCT00866658,cox_int,13.098,0.022,13.094,0.023,12.5,0.028,NA,NA,0.041,0.699,0.661,0.046,-179.689,369.379,376.861,310,NA,NA,NA,NA
NCT00975286,cox_int,11.29,0.046,9.78,0.082,8.31,0.14,NA,NA,0.025,0.671,0.637,0.04,-242.571,495.143,503.71,446,NA,NA,NA,NA
NCT00976937,cox_int,2.317,0.804,2.496,0.777,2.42,0.789,NA,NA,0.007,0.62,0.568,0.055,-153.254,316.508,322.987,319,NA,NA,NA,NA
NCT01169779,cox_int,12.694,0.026,13.303,0.021,12.6,0.027,NA,NA,0.032,0.549,0.655,0.066,-148.909,307.817,314.296,390,NA,NA,NA,NA
NCT01632163,cox_int,4.284,0.509,3.907,0.563,3.65,0.601,NA,NA,0.017,0.692,0.599,0.049,-145.591,301.181,307.66,251,NA,NA,NA,NA
NCT01768559,cox_int,15.424,0.009,17.034,0.004,15.53,0.008,NA,NA,0.017,0.577,0.651,0.038,-376.21,762.42,772.722,892,NA,NA,NA,NA
NCT01798706,cox_int,8.644,0.124,8.117,0.15,7.53,0.184,NA,NA,0.026,0.728,0.632,0.042,-207.532,425.064,433.118,325,NA,NA,NA,NA
NCT00286429,cox_int,25.743,0,26.523,0,25.31,0,NA,NA,0.065,0.993,0.615,0.022,-931.373,1872.745,1888.335,382,NA,NA,NA,NA
NCT00286442,cox_int,10.693,0.058,12.97,0.024,12.25,0.032,NA,NA,0.021,0.912,0.575,0.031,-620.517,1251.035,1264.16,515,NA,NA,NA,NA
NCT00286455,cox_int,22.222,0,23.328,0,21.16,0.001,NA,NA,0.067,0.911,0.662,0.031,-378.555,767.111,778.353,322,NA,NA,NA,NA
NCT00286468,cox_int,31.045,0,29.926,0,28.91,0,NA,NA,0.06,0.962,0.629,0.023,-804.966,1619.932,1634.532,500,NA,NA,NA,NA
NCT00286494,cox_int,9.421,0.093,9.534,0.09,9.4,0.094,NA,NA,0.019,0.92,0.585,0.028,-608.257,1226.514,1239.639,486,NA,NA,NA,NA
NCT00707993,cox_int,4.627,0.463,4.519,0.477,4.5,0.48,NA,NA,0.01,0.992,0.549,0.023,-1061.168,2132.336,2148.384,441,NA,NA,NA,NA
NCT00856284,cox_int,19.453,0.002,19.663,0.001,19.56,0.002,NA,NA,0.007,0.999,0.532,0.009,-9449.626,18909.252,18934.898,2638,NA,NA,NA,NA
NCT01023581,cox_int,18.946,0.015,18.701,0.017,17.62,0.024,NA,NA,0.033,0.942,0.609,0.025,-785.529,1587.059,1609.999,559,NA,NA,NA,NA
NCT01289119,cox_int,5.933,0.313,5.86,0.32,5.86,0.32,NA,NA,0.012,0.633,0.613,0.042,-250.202,510.405,518.973,505,NA,NA,NA,NA
NCT01632007,cox_int,5.913,0.315,5.012,0.414,3.85,0.571,NA,NA,0.024,0.511,0.683,0.064,-84.563,179.126,182.989,245,NA,NA,NA,NA
NCT01890122,cox_int,24.626,0.002,25.331,0.001,23.38,0.003,NA,NA,0.049,0.947,0.633,0.025,-702.434,1420.868,1443.168,488,NA,NA,NA,NA
NCT01217892,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.99,189.981,213.839,394,196.854,393,177.981,388
NCT01606007,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-87.747,187.493,210.555,345,179.376,344,175.493,339
NCT01619059,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-56.563,125.127,147.449,305,119.618,304,113.127,299
NCT02471404,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.611,235.221,261.583,598,232.095,597,223.221,592
NCT02681094,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-94.056,200.111,226.443,595,194.74,594,188.111,589
NCT00601250,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-184.867,381.733,409.04,700,375.445,699,369.733,694
NCT00602472,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-280.236,572.471,602.239,1055,561.443,1054,560.471,1049
NCT00621140,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-117.29,246.581,271.904,503,243.575,502,234.581,497
NCT00622284,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-837.154,1686.309,1718.389,1551,1680.699,1550,1674.309,1545
NCT00641043,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-102.845,217.69,241.44,387,220.81,386,205.69,381
NCT00654381,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-108.166,234.333,272.669,523,224.114,522,216.333,514
NCT00740051,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.024,222.048,242.597,227,239.368,226,210.048,221
NCT00798161,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-212.193,442.386,480.407,505,431.249,504,424.386,496
NCT00800683,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.749,151.498,168.703,130,149.412,129,139.498,124
NCT00819091,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-60.573,133.147,153.98,238,122.484,237,121.147,232
NCT00915772,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-200.73,413.459,437.333,395,403.495,394,401.459,389
NCT00954447,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-533.716,1079.431,1110.226,1252,1076.335,1251,1067.431,1246
NCT00996658,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-91.451,194.901,216.536,272,192.977,271,182.901,266
NCT01084005,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.323,150.646,171.505,239,142.24,238,138.646,233
NCT01087502,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-117.228,246.456,267.213,235,243.271,234,234.456,229
NCT01159600,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-358.126,728.252,759.286,1303,725.3,1302,716.252,1297
NCT01164501,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-273.319,558.638,586.254,737,550.965,736,546.638,731
NCT01167881,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-818.063,1648.125,1680.182,1545,1643.447,1544,1636.125,1539
NCT01177813,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-293.94,605.879,649.071,897,606.147,896,587.879,888
NCT01194830,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-119.284,250.567,270.819,216,240.707,215,238.567,210
NCT01210001,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-139.565,291.13,316.394,498,283.284,497,279.13,492
NCT01214239,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-94.519,201.038,223.241,299,194.839,298,189.038,293
NCT01215097,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.95,185.899,208.221,305,177.753,304,173.899,299
NCT01306214,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-242.172,496.344,522.343,563,488.113,562,484.344,557
NCT01370005,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-148.116,308.233,336.518,824,301.954,823,296.233,818
NCT01422876,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-340.445,692.891,721.124,817,685.306,816,680.891,811
NCT01438814,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-115.537,243.074,270.285,689,234.216,688,231.074,683
NCT01708902,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-137.023,286.046,310.512,436,276.375,435,274.046,430
NCT01719003,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-218.792,449.583,476.707,679,441.902,678,437.583,673
NCT01734785,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-64.925,141.851,164.682,332,139.937,331,129.851,326
NCT01792518,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-61.738,135.476,158.793,360,124.708,359,123.476,354
NCT02182830,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-82.417,176.835,195.434,164,167.405,163,164.835,158
NCT02453555,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-66.327,144.655,166.356,275,138.205,274,132.655,269
NCT01064687,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-359.612,731.224,760.525,976,723.695,975,719.224,970
NCT01075282,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-266.215,544.431,572.591,807,539.037,806,532.431,801
NCT01126580,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-393.495,798.99,827.149,807,792.45,806,786.99,801
NCT01191268,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-422.493,856.985,885.692,884,850.993,883,844.985,878
NCT01558271,glm_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-148.379,308.757,333.948,492,305.584,491,296.757,486
